TABLE NO.  2
 CWRES       IPRED       DV          PRED        RES         WRES
  2.0281E-01  0.0000E+00  2.5706E-01  0.0000E+00  2.5706E-01  2.0281E-01
  5.5856E-01  0.0000E+00  7.0798E-01  0.0000E+00  7.0798E-01  5.5856E-01
  4.6209E-01  0.0000E+00  5.8570E-01  0.0000E+00  5.8570E-01  4.6209E-01
  5.1267E-01  0.0000E+00  6.4982E-01  0.0000E+00  6.4982E-01  5.1267E-01
  1.4616E-01  0.0000E+00  1.8526E-01  0.0000E+00  1.8526E-01  1.4616E-01
  6.8440E-02  0.0000E+00  8.6748E-02  0.0000E+00  8.6748E-02  6.8440E-02
  1.4207E-01  0.0000E+00  1.8008E-01  0.0000E+00  1.8008E-01  1.4207E-01
  1.5683E-01  0.0000E+00  1.9879E-01  0.0000E+00  1.9879E-01  1.5683E-01
  1.5280E-01  0.0000E+00  1.9367E-01  0.0000E+00  1.9367E-01  1.5280E-01
  1.6738E-01  0.0000E+00  2.1215E-01  0.0000E+00  2.1215E-01  1.6738E-01
  6.0538E-02  0.0000E+00  7.6733E-02  0.0000E+00  7.6733E-02  6.0538E-02
  1.3895E-01  0.0000E+00  1.7612E-01  0.0000E+00  1.7612E-01  1.3895E-01
  2.1980E-01  0.0000E+00  2.7860E-01  0.0000E+00  2.7860E-01  2.1980E-01
  1.5042E-01  0.0000E+00  1.9066E-01  0.0000E+00  1.9066E-01  1.5042E-01
  1.4611E-01  0.0000E+00  1.8520E-01  0.0000E+00  1.8520E-01  1.4611E-01
  4.3487E-02  0.0000E+00  5.5120E-02  0.0000E+00  5.5120E-02  4.3487E-02
  1.0931E-01  0.0000E+00  1.3855E-01  0.0000E+00  1.3855E-01  1.0931E-01
  1.2839E-01  0.0000E+00  1.6273E-01  0.0000E+00  1.6273E-01  1.2839E-01
  2.0442E-01  0.0000E+00  2.5910E-01  0.0000E+00  2.5910E-01  2.0442E-01
  5.0989E-02  0.0000E+00  6.4629E-02  0.0000E+00  6.4629E-02  5.0989E-02
  4.4881E-02  0.0000E+00  5.6887E-02  0.0000E+00  5.6887E-02  4.4881E-02
  8.7297E-02  0.0000E+00  1.1065E-01  0.0000E+00  1.1065E-01  8.7297E-02
  2.8348E-01  0.0000E+00  3.5931E-01  0.0000E+00  3.5931E-01  2.8348E-01
  1.5786E-01  0.0000E+00  2.0009E-01  0.0000E+00  2.0009E-01  1.5786E-01
  9.9739E-02  0.0000E+00  1.2642E-01  0.0000E+00  1.2642E-01  9.9739E-02
  5.8001E-02  0.0000E+00  7.3517E-02  0.0000E+00  7.3517E-02  5.8001E-02
  4.9666E-02  0.0000E+00  6.2952E-02  0.0000E+00  6.2952E-02  4.9666E-02
  5.3675E-02  0.0000E+00  6.8034E-02  0.0000E+00  6.8034E-02  5.3675E-02
  1.3093E-01  0.0000E+00  1.6596E-01  0.0000E+00  1.6596E-01  1.3093E-01
  1.6298E-01  0.0000E+00  2.0658E-01  0.0000E+00  2.0658E-01  1.6298E-01
  2.4823E-01  0.0000E+00  3.1463E-01  0.0000E+00  3.1463E-01  2.4823E-01
  4.4063E-02  0.0000E+00  5.5850E-02  0.0000E+00  5.5850E-02  4.4063E-02
  1.5156E-01  0.0000E+00  1.9210E-01  0.0000E+00  1.9210E-01  1.5156E-01
  1.8197E-01  0.0000E+00  2.3065E-01  0.0000E+00  2.3065E-01  1.8197E-01
  1.4070E-01  0.0000E+00  1.7834E-01  0.0000E+00  1.7834E-01  1.4070E-01
  6.3600E-02  0.0000E+00  8.0614E-02  0.0000E+00  8.0614E-02  6.3600E-02
  1.0450E-01  0.0000E+00  1.3245E-01  0.0000E+00  1.3245E-01  1.0450E-01
  7.9092E-02  0.0000E+00  1.0025E-01  0.0000E+00  1.0025E-01  7.9092E-02
  2.4816E-01  0.0000E+00  3.1455E-01  0.0000E+00  3.1455E-01  2.4816E-01
  1.8597E-01  0.0000E+00  2.3572E-01  0.0000E+00  2.3572E-01  1.8597E-01
  2.0470E-01  0.0000E+00  2.5946E-01  0.0000E+00  2.5946E-01  2.0470E-01
  1.0489E-01  0.0000E+00  1.3295E-01  0.0000E+00  1.3295E-01  1.0489E-01
  9.9376E-02  0.0000E+00  1.2596E-01  0.0000E+00  1.2596E-01  9.9376E-02
  5.6635E-02  0.0000E+00  7.1785E-02  0.0000E+00  7.1785E-02  5.6635E-02
  4.1106E-02  0.0000E+00  5.2102E-02  0.0000E+00  5.2102E-02  4.1106E-02
  9.4800E-02  0.0000E+00  1.2016E-01  0.0000E+00  1.2016E-01  9.4800E-02
  2.9115E-01  0.0000E+00  3.6903E-01  0.0000E+00  3.6903E-01  2.9115E-01
  3.0666E-01  0.0000E+00  3.8870E-01  0.0000E+00  3.8870E-01  3.0666E-01
  1.5210E-01  0.0000E+00  1.9279E-01  0.0000E+00  1.9279E-01  1.5210E-01
  1.5082E-01  0.0000E+00  1.9117E-01  0.0000E+00  1.9117E-01  1.5082E-01
  6.8831E-02  0.0000E+00  8.7244E-02  0.0000E+00  8.7244E-02  6.8831E-02
  9.5123E-02  0.0000E+00  1.2057E-01  0.0000E+00  1.2057E-01  9.5123E-02
  1.6416E-01  0.0000E+00  2.0807E-01  0.0000E+00  2.0807E-01  1.6416E-01
  9.1936E-02  0.0000E+00  1.1653E-01  0.0000E+00  1.1653E-01  9.1936E-02
  7.7307E-02  0.0000E+00  9.7987E-02  0.0000E+00  9.7987E-02  7.7307E-02
  5.4037E-02  0.0000E+00  6.8493E-02  0.0000E+00  6.8493E-02  5.4037E-02
  2.3236E-01  0.0000E+00  2.9452E-01  0.0000E+00  2.9452E-01  2.3236E-01
  3.0733E-01  0.0000E+00  3.8954E-01  0.0000E+00  3.8954E-01  3.0733E-01
  1.4824E-01  0.0000E+00  1.8790E-01  0.0000E+00  1.8790E-01  1.4824E-01
  1.0392E-01  0.0000E+00  1.3172E-01  0.0000E+00  1.3172E-01  1.0392E-01
  1.4232E-01  0.0000E+00  1.8039E-01  0.0000E+00  1.8039E-01  1.4232E-01
  3.5932E-01  0.0000E+00  4.5544E-01  0.0000E+00  4.5544E-01  3.5932E-01
  4.1925E-01  0.0000E+00  5.3140E-01  0.0000E+00  5.3140E-01  4.1925E-01
  2.4612E-01  0.0000E+00  3.1196E-01  0.0000E+00  3.1196E-01  2.4612E-01
  1.1136E-01  0.0000E+00  1.4115E-01  0.0000E+00  1.4115E-01  1.1136E-01
  1.1976E-01  0.0000E+00  1.5180E-01  0.0000E+00  1.5180E-01  1.1976E-01
  1.3010E-01  0.0000E+00  1.6490E-01  0.0000E+00  1.6490E-01  1.3010E-01
  1.4117E-01  0.0000E+00  1.7894E-01  0.0000E+00  1.7894E-01  1.4117E-01
  8.6666E-02  0.0000E+00  1.0985E-01  0.0000E+00  1.0985E-01  8.6666E-02
  8.5459E-02  0.0000E+00  1.0832E-01  0.0000E+00  1.0832E-01  8.5459E-02
  7.2722E-02  0.0000E+00  9.2176E-02  0.0000E+00  9.2176E-02  7.2722E-02
  4.3695E-02  0.0000E+00  5.5384E-02  0.0000E+00  5.5384E-02  4.3695E-02
  1.2653E-01  0.0000E+00  1.6038E-01  0.0000E+00  1.6038E-01  1.2653E-01
  1.6999E-01  0.0000E+00  2.1547E-01  0.0000E+00  2.1547E-01  1.6999E-01
  1.3680E-01  0.0000E+00  1.7339E-01  0.0000E+00  1.7339E-01  1.3680E-01
  1.2715E-01  0.0000E+00  1.6116E-01  0.0000E+00  1.6116E-01  1.2715E-01
  6.3461E-02  0.0000E+00  8.0437E-02  0.0000E+00  8.0437E-02  6.3461E-02
  1.6998E-01  0.0000E+00  2.1545E-01  0.0000E+00  2.1545E-01  1.6998E-01
  1.7227E-01  0.0000E+00  2.1836E-01  0.0000E+00  2.1836E-01  1.7227E-01
  4.4343E-01  0.0000E+00  5.6205E-01  0.0000E+00  5.6205E-01  4.4343E-01
  3.8918E-01  0.0000E+00  4.9329E-01  0.0000E+00  4.9329E-01  3.8918E-01
  8.3707E-02  0.0000E+00  1.0610E-01  0.0000E+00  1.0610E-01  8.3707E-02
  1.2824E-01  0.0000E+00  1.6255E-01  0.0000E+00  1.6255E-01  1.2824E-01
