TABLE NO.  1
 ROW         TVKA        TVV2        TVCL        TVV3        TVQ         KA          V2          CL          V3          Q           IPRED       DV          PRED        RES         WRES
  1.0000E+00  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.0099E-01  4.4861E-02  7.2474E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.4000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.0099E-01  4.4861E-02  7.2474E-01  1.7864E-01  1.0732E+04  3.1024E-02  5.9541E-02  2.6551E-02  3.2990E-02  8.0265E-01
  5.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.1000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9896E-01  4.4702E-02  7.2474E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.4000E+01  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9896E-01  4.4702E-02  7.2474E-01  1.7864E-01  1.0732E+04  3.0560E-02  5.7728E-02  2.6531E-02  3.1197E-02  7.6040E-01
  1.0100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9764E-01  4.4182E-02  7.2477E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0300E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9764E-01  4.4182E-02  7.2477E-01  1.7864E-01  1.0732E+04  2.8482E-02  5.3388E-02  2.5057E-02  2.8331E-02  6.9473E-01
  1.1100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.1045E-01  4.6141E-02  7.2471E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2400E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.1045E-01  4.6141E-02  7.2471E-01  1.7864E-01  1.0732E+04  3.3086E-02  7.0144E-02  2.6442E-02  4.3702E-02  1.0636E+00
  1.3100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9374E-01  4.4400E-02  7.2474E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9374E-01  4.4400E-02  7.2474E-01  1.7864E-01  1.0732E+04  2.6291E-02  5.3046E-02  2.3705E-02  2.9341E-02  7.3375E-01
  1.7100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9345E-01  4.4553E-02  7.2473E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9345E-01  4.4553E-02  7.2473E-01  1.7864E-01  1.0732E+04  2.4975E-02  5.4191E-02  2.2541E-02  3.1650E-02  7.9847E-01
  1.8100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9943E-01  4.4391E-02  7.2476E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9300E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9943E-01  4.4391E-02  7.2476E-01  1.7864E-01  1.0732E+04  2.8425E-02  5.5448E-02  2.4685E-02  3.0763E-02  7.5608E-01
  2.0100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.3286E-01  5.1834E-02  7.2454E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0400E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.3286E-01  5.1834E-02  7.2454E-01  1.7864E-01  1.0732E+04  4.0581E-02  6.1782E-02  2.6582E-02  3.5200E-02  7.8394E-01
  2.0500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.3286E-01  5.1834E-02  7.2454E-01  1.7864E-01  1.0732E+04  3.4246E-02  8.7176E-02  2.3409E-02  6.3767E-02  1.5622E+00
  2.1100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9773E-01  4.5290E-02  7.2471E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9773E-01  4.5290E-02  7.2471E-01  1.7864E-01  1.0732E+04  2.6686E-02  6.1108E-02  2.3287E-02  3.7821E-02  9.4888E-01
  2.4100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9662E-01  4.5034E-02  7.2472E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.9662E-01  4.5034E-02  7.2472E-01  1.7864E-01  1.0732E+04  2.6579E-02  5.8852E-02  2.3406E-02  3.5446E-02  8.8849E-01
  2.5100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.3595E-01  5.2050E-02  7.2454E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8400E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.3595E-01  5.2050E-02  7.2454E-01  1.7864E-01  1.0732E+04  4.1174E-02  6.5172E-02  2.6533E-02  3.8639E-02  8.6897E-01
  2.8500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.3595E-01  5.2050E-02  7.2454E-01  1.7864E-01  1.0732E+04  3.5220E-02  8.5506E-02  2.3692E-02  6.1814E-02  1.5050E+00
  2.9100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.2648E-01  5.0265E-02  7.2456E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0200E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.2648E-01  5.0265E-02  7.2456E-01  1.7864E-01  1.0732E+04  4.8019E-02  6.3257E-02  3.3183E-02  3.0074E-02  4.9580E-01
  3.0300E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.2648E-01  5.0265E-02  7.2456E-01  1.7864E-01  1.0732E+04  1.1554E-01  7.3687E-02  7.9460E-02 -5.7727E-03 -6.2762E-01
  3.0400E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.2648E-01  5.0265E-02  7.2456E-01  1.7864E-01  1.0732E+04  1.2822E-01  1.8979E-01  8.8649E-02  1.0114E-01  1.5143E+00
  3.0500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  2.2648E-01  5.0265E-02  7.2456E-01  1.7864E-01  1.0732E+04  1.1308E-01  1.3310E-01  8.0526E-02  5.2574E-02  6.4171E-01
  3.1100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8282E-01  4.2692E-02  7.2479E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1300E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8282E-01  4.2692E-02  7.2479E-01  1.7864E-01  1.0732E+04  8.4815E-02  9.7183E-02  8.2842E-02  1.4341E-02  1.9185E-01
  3.1400E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8282E-01  4.2692E-02  7.2479E-01  1.7864E-01  1.0732E+04  8.9736E-02  8.4462E-02  8.7641E-02 -3.1793E-03 -1.6958E-01
  3.1500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.8282E-01  4.2692E-02  7.2479E-01  1.7864E-01  1.0732E+04  7.8664E-02  9.9815E-02  7.6907E-02  2.2908E-02  4.0122E-01
  3.2100E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.5787E-01  3.8189E-02  7.2493E-01  1.7864E-01  1.0732E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.2300E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.5787E-01  3.8189E-02  7.2493E-01  1.7864E-01  1.0732E+04  6.7925E-02  7.5575E-02  8.4539E-02 -8.9641E-03 -2.6139E-02
  3.2400E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.5787E-01  3.8189E-02  7.2493E-01  1.7864E-01  1.0732E+04  7.1325E-02  6.2657E-02  8.8321E-02 -2.5664E-02 -3.6118E-01
  3.2500E+02  1.8123E-01  4.2000E-02  7.2481E-01  1.7864E-01  1.0732E+04  1.5787E-01  3.8189E-02  7.2493E-01  1.7864E-01  1.0732E+04  6.3302E-02  6.3535E-02  7.6858E-02 -1.3323E-02 -1.5197E-01
