TABLE NO.  1
 ROW         TVKA        TVV2        TVCL        TVV3        TVQ         KA          V2          CL          V3          Q           IPRED       DV          PRED        RES         WRES
  1.0000E+00  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  2.0098E-01  4.4867E-02  7.2487E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.4000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  2.0098E-01  4.4867E-02  7.2487E-01  1.7857E-01  8.8137E+06  3.1023E-02  5.9541E-02  2.6541E-02  3.3000E-02  8.0329E-01
  5.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.1000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9894E-01  4.4708E-02  7.2487E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.4000E+01  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9894E-01  4.4708E-02  7.2487E-01  1.7857E-01  8.8137E+06  3.0558E-02  5.7728E-02  2.6521E-02  3.1207E-02  7.6104E-01
  1.0100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9762E-01  4.4186E-02  7.2488E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0300E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9762E-01  4.4186E-02  7.2488E-01  1.7857E-01  8.8137E+06  2.8482E-02  5.3388E-02  2.5050E-02  2.8338E-02  6.9526E-01
  1.1100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  2.1046E-01  4.6150E-02  7.2486E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2400E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  2.1046E-01  4.6150E-02  7.2486E-01  1.7857E-01  8.8137E+06  3.3091E-02  7.0144E-02  2.6433E-02  4.3711E-02  1.0643E+00
  1.3100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9371E-01  4.4405E-02  7.2487E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6500E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9371E-01  4.4405E-02  7.2487E-01  1.7857E-01  8.8137E+06  2.6286E-02  5.3046E-02  2.3696E-02  2.9350E-02  7.3439E-01
  1.7100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9342E-01  4.4558E-02  7.2487E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7500E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9342E-01  4.4558E-02  7.2487E-01  1.7857E-01  8.8137E+06  2.4971E-02  5.4191E-02  2.2532E-02  3.1659E-02  7.9914E-01
  1.8100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9942E-01  4.4395E-02  7.2488E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9300E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.9942E-01  4.4395E-02  7.2488E-01  1.7857E-01  8.8137E+06  2.8426E-02  5.5448E-02  2.4678E-02  3.0770E-02  7.5663E-01
  2.0100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  2.3292E-01  5.1853E-02  7.2478E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0400E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  2.3292E-01  5.1853E-02  7.2478E-01  1.7857E-01  8.8137E+06  4.0595E-02  6.1782E-02  2.6573E-02  3.5209E-02  7.8448E-01
  2.0500E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  2.3292E-01  5.1853E-02  7.2478E-01  1.7857E-01  8.8137E+06  3.4252E-02  8.7176E-02  2.3400E-02  6.3776E-02  1.5633E+00
  2.1100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2100E+02  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  1.8116E-01  4.2000E-02  7.2491E-01  1.7857E-01  8.8137E+06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
