TABLE NO.  2
 ETA1        ETA2        ETA3        ETA4        ETA5
  0.0000E+00 -7.8603E-01 -5.2020E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8603E-01 -5.2020E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8603E-01 -5.2020E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8603E-01 -5.2020E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8603E-01 -5.2020E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8603E-01 -5.2020E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0349E-01 -1.9142E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0349E-01 -1.9142E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0349E-01 -1.9142E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0349E-01 -1.9142E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0349E-01 -1.9142E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0349E-01 -1.9142E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0349E-01 -1.9142E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.3532E-02  9.0490E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.3532E-02  9.0490E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.3532E-02  9.0490E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.3532E-02  9.0490E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.3532E-02  9.0490E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.3532E-02  9.0490E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.4588E-01  4.2244E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.4588E-01  4.2244E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.4588E-01  4.2244E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.4588E-01  4.2244E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.4588E-01  4.2244E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8931E-01 -2.5048E-01  0.0000E+00  0.0000E+00
